"ACFN","Acorn Energy Inc","0.27","0.01","3.41","0.26","0.27","--","0.28","0.26"
"ACIA","Acacia Communications","47.52","2.6","5.79","47","48.75","--","48.3","45.32"
"ACTA","Actua Corp","14.1","0.1","0.71","0","14.1","--","14.5","14"
"AEHR","AEHR Test Systems","3.99","-0.16","-3.86","3.95","4.65","--","4.12","3.97"
"AGYS","Agilysys Inc","10.03","0.05","0.5","10.03","10.05","--","10.22","9.9"
"AIXNY","Aixtron SE","5.7","0.06","1.06","5.7","5.74","--","5.73","5.7"
"AMBR","Amber Road Inc","8.4","0.09","1.08","8.39","8.4","--","8.54","8.28"
"AMRH","Ameri Holdings Inc","6.59","--","--","4","6.84","--","--","--"
"ANGI","Angie's List","10.71","0.13","1.23","10.65","10.72","--","10.97","10.2"
"APPF","AppFolio Inc","26","0","0","26","0","--","26.35","25.55"
"APTI","Apptio","13.86","0.85","6.53","13.36","13.87","--","13.9","13.46"
"ASTI","Ascent Solar Technologies Inc","0","0","-14.29","0","0","--","0","0"
"ASUR","Asure Software Inc","11.1","0.3","2.78","11.1","11.21","--","11.33","10.61"
"ASYS","Amtech Systems Inc","7.23","0.09","1.26","7.12","7.23","--","7.39","7"
"ATEN","A10 Networks, Inc.","8.15","0.12","1.49","8.14","8.15","--","8.19","7.92"
"ATOM","Atomera Inc","6.09","-0.04","-0.57","6","6.24","--","6.16","6.04"
"AVID","Avid Technology Inc","5.24","-0.07","-1.32","5.24","5.25","--","5.42","5.19"
"AVNW","Aviat Networks Inc","21.3","0.6","2.9","14","21.3","--","21.64","19.69"
"AYX","Alteryx Inc","18.9","0.81","4.48","18.1","18.97","--","19.39","18.02"
"BBOX","Black Box Corp","9.7","0.25","2.65","9.7","9.75","--","9.8","9.25"
"BCOR","Blucora Inc","20.3","0.9","4.64","19.45","20.6","--","20.4","19.45"
"BCOV","Brightcove Inc","6.03","-2.68","-30.75","6","6.3","--","6.35","5.4"
"BELFB","Bel Fuse Inc","23.25","0.35","1.53","23.25","23.35","--","23.63","22.7"
"BITA","Bitauto","27.69","0.47","1.73","27.71","27.7","--","27.78","26.78"
"BL","Blackline Inc","32.86","0.65","2.02","23","33.99","--","33.42","32"
"BLIN","Bridgeline Digital Inc","0.79","0.03","3.95","0.79","0.8","--","0.79","0.76"
"BNFT","Benefitfocus Inc","30.25","0.05","0.17","0","32.15","--","30.55","30"
"BOX","Box","18.37","0.14","0.77","18.37","18.38","--","18.39","18.1"
"BSFT","BroadSoft Inc","35.6","-0.1","-0.28","32.4","44","--","35.85","34.85"
"BSQR","Bsquare Corp","5.05","-0.05","-0.98","4.95","5.15","--","5.15","5.05"
"BV","Bazaarvoice Inc","4.65","0.05","1.09","4.6","4.65","--","4.7","4.58"
"BVSN","BroadVision Inc","4.4","0.15","3.53","4.4","4.45","--","4.45","4.38"
"CALD","Callidus Software Inc","21.05","0.05","0.24","18","23","--","21.65","19.55"
"CALX","Calix Inc","6.7","0","0","6.7","6.75","--","6.75","6.68"
"CAMP","CalAmp Corp","18.66","0.42","2.3","18.66","20.43","--","18.81","18.29"
"CARB","Carbonite Inc","21.7","0.5","2.36","21.55","25","--","21.9","19.81"
"CAVM","Cavium","70.46","-0.27","-0.38","66.5","72.34","--","70.99","69.82"
"CBAK","CBAK Energy Technology Inc","1.3","-0.05","-3.7","1.3","1.4","--","1.4","1.3"
"CBRIQ","Ciber Inc","0.03","-0.01","-14.69","0.03","0.03","--","0.04","0.03"
"CCIH","ChinaCache International Holdings Ltd","1.08","-0.01","-0.92","1.08","1.1","--","1.12","1.08"
"CCUR","Concurrent Computer Corp","5.14","0.01","0.19","5.12","5.14","--","5.14","5.06"
"CDRB","Code Rebel Corp","0","--","--","0","0","--","--","--"
"CLDR","Cloudera Inc","19.97","0.39","1.99","19.75","20.18","--","20.66","19.32"
"CLIR","ClearSign Combustion Corp","3.55","0.25","7.58","3.3","3.55","--","3.55","3.3"
"CLOK","Cipherloc Corp","3","0.25","9.09","2.75","3.45","--","3","3"
"CMCM","Cheetah Mobile Inc","10.85","0","0","10.66","10.92","--","10.94","10.6"
"CMTL","Comtech Telecommunications Corp","14.27","0.1","0.71","13.21","0","--","14.34","14.07"
"CNDT","Conduent Inc","17.69","0.42","2.43","17.13","18.37","--","17.76","17.2"
"CNIT","China Information Technology Inc","0.71","-0.01","-1.11","0.71","0.71","--","0.72","0.65"
"CNTF","China Techfaith Wireless Communication Technology Ltd","2.41","0","-0.1","1.75","2.55","--","2.42","2.37"
"COOL","Polarityte Inc","11.38","-0.18","-1.56","11.25","12.6","--","11.7","11.01"
"COUP","Coupa Software Inc","28.65","0.53","1.88","27.7","29.22","--","28.69","28.02"
"COVS","Covisint Corp","1.9","0","0","0","2.1","--","1.95","1.85"
"CPAH","CounterPath Corp","2.15","-0.05","-2.27","2.05","2.17","--","2.15","2.15"
"CRAY","Cray Inc","18.65","0.58","3.18","13","18.85","--","18.83","18.1"
"CRCM","Care.com","13.8","-0.04","-0.29","13.78","13.79","--","13.95","13.59"
"CRDS","Crossroads Systems Inc","3.32","0","0","3.25","3.64","--","3.39","3.32"
"CREE","CREE","22.12","0.12","0.55","21.9","22.25","--","22.13","21.89"
"CRTN","Cartesian Inc","0.66","-0.01","-1.32","0.66","0.68","--","0.68","0.64"
"CSIQ","Canadian Solar Inc","13.31","0.6","4.72","13.32","13.46","--","13.34","12.63"
"CSOD","Cornerstone OnDemand, Inc.","39.19","1.28","3.38","39.19","45","--","39.21","37.71"
"CSUNY","China Sunergy Co Ltd","0.06","-0.01","-17.89","0.05","0.07","--","0.06","0.06"
