"ACFN","Acorn Energy Inc","--","--","--","--","-14.479"
"ACIA","Acacia Communications","3.18","3.12","3.6","--","--"
"ACTA","Actua Corp","-0.26","--","--","-29.844","-4.9017"
"AEHR","AEHR Test Systems","--","--","--","65.082","1.0884"
"AGYS","Agilysys Inc","-0.18","--","--","9.021","-29.1761"
"AIXNY","Aixtron SE","--","--","--","--","-23.9759"
"AMBR","Amber Road Inc","-0.44","--","--","--","14.2569"
"AMRH","Ameri Holdings Inc","--","--","--","--","--"
"ANGI","Angie's List","-0.13","0.06","0.26","--","29.1335"
"APPF","AppFolio Inc","-0.12","--","--","--","--"
"APTI","Apptio","-1.08","--","0.01","--","--"
"ASTI","Ascent Solar Technologies Inc","--","--","--","--","-15.0509"
"ASUR","Asure Software Inc","0.24","--","--","-26.611","26.5718"
"ASYS","Amtech Systems Inc","-0.53","--","--","96.393","-13.379"
"ATEN","A10 Networks, Inc.","-0.04","0.12","0.31","--","20.3022"
"ATOM","Atomera Inc","--","--","--","--","--"
"AVID","Avid Technology Inc","1.9","--","--","45.411","-5.4624"
"AVNW","Aviat Networks Inc","--","--","--","--","-9.8837"
"AYX","Alteryx Inc","--","--","--","--","--"
"BBOX","Black Box Corp","1.11","--","--","-24.244","-3.099"
"BCOR","Blucora Inc","1.06","--","--","34.35","14.7836"
"BCOV","Brightcove Inc","0","--","--","--","18.7767"
"BELFB","Bel Fuse Inc","--","--","--","41.996","11.1272"
"BITA","Bitauto","3.28","--","--","-5.277","52.8762"
"BL","Blackline Inc","-0.39","--","--","--","--"
"BLIN","Bridgeline Digital Inc","-0.75","--","--","--","-9.558"
"BNFT","Benefitfocus Inc","-0.73","--","--","--","27.6732"
"BOX","Box","-0.56","--","--","--","80.0188"
"BSFT","BroadSoft Inc","2.3","--","--","15.349","19.8188"
"BSQR","Bsquare Corp","--","--","--","--","0.1232"
"BV","Bazaarvoice Inc","-0.05","--","--","--","25.3766"
"BVSN","BroadVision Inc","--","--","--","--","-14.6725"
"CALD","Callidus Software Inc","0.28","--","--","39.58","19.8"
"CALX","Calix Inc","-0.14","--","--","34.777","5.8868"
"CAMP","CalAmp Corp","1.06","--","--","23.949","20.4076"
"CARB","Carbonite Inc","0.6","--","--","--","27.8851"
"CAVM","Cavium","1.53","2.73","3.62","42.903","18.4077"
"CBAK","CBAK Energy Technology Inc","--","--","--","--","-42.301"
"CBRIQ","Ciber Inc","--","--","--","-1.091","-5.9835"
"CCIH","ChinaCache International Holdings Ltd","--","--","--","--","10.5605"
"CCUR","Concurrent Computer Corp","--","--","--","--","-1.7523"
"CDRB","Code Rebel Corp","--","--","--","--","--"
"CLDR","Cloudera Inc","--","--","--","--","--"
"CLIR","ClearSign Combustion Corp","--","--","--","--","--"
"CLOK","Cipherloc Corp","--","--","--","--","--"
"CMCM","Cheetah Mobile Inc","2.26","--","--","14.925","99.4765"
"CMTL","Comtech Telecommunications Corp","-0.46","--","--","-24.674","-7.6653"
"CNDT","Conduent Inc","1.06","--","--","--","0.4236"
