"ACFN","Acorn Energy Inc","--","42.59","965.35","116.14","-2.78","7.67"
"ACIA","Acacia Communications","1.02","27.5","1432.63","0","8.88","4.01"
"ACTA","Actua Corp","--","64.12","22.71","0.37","-26.77","1.38"
"AEHR","AEHR Test Systems","--","-46.79","-166.95","-848.08","-10.19","74.97"
"AGYS","Agilysys Inc","--","-3.13","-6.52","0.27","48.14","1.95"
"AIXNY","Aixtron SE","--","-12.22","-5.36","0","-83.62","1.54"
"AMBR","Amber Road Inc","--","-25.6","-41.36","69.51","-47.1","6.77"
"AMRH","Ameri Holdings Inc","--","-7.69","--","43.16","-29.11","7.75"
"ANGI","Angie's List","2.12","-2.43","--","1280.93","9.41","77.64"
"APPF","AppFolio Inc","1.3","-7.84","-11.39","0","137.83","12.85"
"APTI","Apptio","--","-19.65","--","0.13","-18.84","6.99"
"ASTI","Ascent Solar Technologies Inc","--","-2223.4","-125.7","-44.89","0","-0.03"
"ASUR","Asure Software Inc","1.08","-2.73","-25.17","165.51","20.92","4.82"
"ASYS","Amtech Systems Inc","0.2","-5.83","-4.44","15.26","165.45","1.4"
"ATEN","A10 Networks, Inc.","0.8","-9.1","-25.54","0","77.63","6.39"
"ATOM","Atomera Inc","--","--","--","0","-4.93","2.94"
"AVID","Avid Technology Inc","--","9.42","--","-71.8","2.53","-0.85"
"AVNW","Aviat Networks Inc","--","-11.13","-28.67","16.94","-20.15","1.64"
"AYX","Alteryx Inc","--","-28.28","--","-0.92","-47.84","-11.6"
"BBOX","Black Box Corp","-0.94","-18.75","-25.71","78.48","8.17","1.05"
"BCOR","Blucora Inc","0.69","-14.29","-13.91","99.51","12.24","1.85"
"BCOV","Brightcove Inc","--","-6.65","-12.58","1.02","69.41","3.78"
"BELFB","Bel Fuse Inc","--","-12.96","-27.7","89.15","5.12","1.84"
"BITA","Bitauto","0.68","-9.38","-5.68","132.12","22.63","1.47"
"BL","Blackline Inc","--","-31.8","-27.36","0.34","-76.54","5.78"
"BLIN","Bridgeline Digital Inc","--","-49.22","-75.9","18.78","-9.14","1.31"
"BNFT","Benefitfocus Inc","--","-17.17","--","-302.55","175.13","-28.77"
"BOX","Box","--","-38.08","-107.18","102.23","-147.62","30.13"
"BSFT","BroadSoft Inc","1.08","0.24","-2.97","66.73","14.87","3.87"
"BSQR","Bsquare Corp","--","-1.08","-2.81","--","80.4","1.71"
"BV","Bazaarvoice Inc","0.92","-12.68","-10.23","22.76","34.16","2.17"
"BVSN","BroadVision Inc","--","-119.46","-36.96","--","-2.36","1.23"
"CALD","Callidus Software Inc","1.91","-9.17","-14.08","0","46.67","5.66"
"CALX","Calix Inc","--","-5.97","-11.81","0","235.09","1.55"
"CAMP","CalAmp Corp","1.01","-2.04","-4.05","89.53","20.44","3.78"
"CARB","Carbonite Inc","1.01","-1.98","-384.7","0","27.18","101.42"
"CAVM","Cavium","0.94","-24.4","-41.48","98.77","90.63","6.24"
"CBAK","CBAK Energy Technology Inc","--","-62.69","-56.99","238.4","-28.65","2.32"
"CBRIQ","Ciber Inc","--","0.42","-51.93","10.23","-0.09","0.02"
"CCIH","ChinaCache International Holdings Ltd","--","-47.06","-63.53","54.44","-0.59","0.71"
"CCUR","Concurrent Computer Corp","--","-18.17","-45.42","--","-47.76","2.86"
"CDRB","Code Rebel Corp","--","-682.1","--","0","-0.13","0.02"
"CLDR","Cloudera Inc","--","-71.76","--","0","-17.39","-4.58"
