"ACFN","Acorn Energy Inc","3.41","-25.82","-30.77","12.55","--","--","--"
"ACIA","Acacia Communications","5.79","-15.14","-17","--","--","--","--"
"ACTA","Actua Corp","0.71","0","0","52.43","-34.17","56.67","15.01"
"AEHR","AEHR Test Systems","-3.86","-6.78","73.48","189.13","60.89","185","--"
"AGYS","Agilysys Inc","0.5","7.97","7.16","-8.65","-17.99","18.7","-54.26"
"AIXNY","Aixtron SE","1.06","56.59","53.23","14.92","-63.23","-66.61","-28.39"
"AMBR","Amber Road Inc","1.08","17.65","-7.28","78.72","-37.96","--","--"
"AMRH","Ameri Holdings Inc","--","1.23","1.23","-5.86","434.6","1396.88","-8.73"
"ANGI","Angie's List","1.23","91.59","66.82","24.39","-4.29","-23.88","--"
"APPF","AppFolio Inc","0","0","13.04","112.77","--","--","--"
"APTI","Apptio","6.53","22.76","-14.13","--","--","--","--"
"ASTI","Ascent Solar Technologies Inc","-14.29","-66.67","-76.92","-99.94","-100","-100","-100"
"ASUR","Asure Software Inc","2.78","14.43","0.73","112.24","77.6","128.4","38.75"
"ASYS","Amtech Systems Inc","1.26","35.14","31.69","24.66","-25.16","4.18","-13.93"
"ATEN","A10 Networks, Inc.","1.49","-8.53","2.9","33.83","-33.58","--","--"
"ATOM","Atomera Inc","-0.57","-8.91","6.2","--","--","--","--"
"AVID","Avid Technology Inc","-1.32","14.41","-8.07","-11.19","-30.13","-33.33","-84.58"
"AVNW","Aviat Networks Inc","2.9","48.33","72.33","144.49","15.26","-36.15","-89"
"AYX","Alteryx Inc","4.48","13.24","--","--","--","--","--"
"BBOX","Black Box Corp","2.65","11.49","1.57","-30.42","-52.96","-55.95","-74.54"
"BCOR","Blucora Inc","4.64","17.68","32.25","134.95","17.72","83.54","-20.36"
"BCOV","Brightcove Inc","-30.75","-28.7","-13.93","0.92","-26.07","-68.8","--"
"BELFB","Bel Fuse Inc","1.53","1.97","-24.88","37.49","15.61","37.57","-37.25"
"BITA","Bitauto","1.73","17.97","46.02","9.01","-29.46","521.08","--"
"BL","Blackline Inc","2.02","9.39","19.58","--","--","--","--"
"BLIN","Bridgeline Digital Inc","3.95","1.28","25.34","5.18","-83.54","-87.36","--"
"BNFT","Benefitfocus Inc","0.17","8.23","5.4","-12.47","-7.21","--","--"
"BOX","Box","0.77","10.13","3.96","52.2","--","--","--"
"BSFT","BroadSoft Inc","-0.28","-7.41","-17.21","-7.36","76.59","-12.94","--"
"BSQR","Bsquare Corp","-0.98","-4.72","-12.93","-14.12","61.86","70.03","-10.93"
"BV","Bazaarvoice Inc","1.09","8.14","-3.13","39.22","-29.33","-75.44","--"
"BVSN","BroadVision Inc","3.53","-4.35","-12.87","-33.33","-52.48","-77.49","-91.85"
"CALD","Callidus Software Inc","0.24","7.4","11.38","25.37","94.37","246.79","156.08"
"CALX","Calix Inc","0","4.69","-6.94","-5.77","-19.95","-28.11","--"
"CAMP","CalAmp Corp","2.3","14.55","22.6","31.41","5.72","210.48","119.01"
"CARB","Carbonite Inc","2.36","10.29","6.37","144.09","106.86","185.15","--"
"CAVM","Cavium","-0.38","0.11","5.24","51.01","61.98","171.63","292.53"
"CBAK","CBAK Energy Technology Inc","-3.7","-25.71","-3.7","-50.38","-50","-66.23","-92.17"
"CBRIQ","Ciber Inc","-14.69","-90.35","-89.69","-98.13","-99.3","-99.21","-99.65"
"CCIH","ChinaCache International Holdings Ltd","-0.92","-27.52","-57.65","-87.95","-92.88","-80.43","--"
"CCUR","Concurrent Computer Corp","0.19","9.59","-5.25","-15.88","-36.93","42.75","-66.18"
"CDRB","Code Rebel Corp","--","-93.33","900","-99.95","--","--","--"
"CLDR","Cloudera Inc","1.99","--","--","--","--","--","--"
"CLIR","ClearSign Combustion Corp","7.58","-4.05","14.52","-19.86","-61.45","-52.28","--"
"CLOK","Cipherloc Corp","9.09","14.88","-10.45","-18.92","30.43","130.77","-15.49"
"CMCM","Cheetah Mobile Inc","0","0.56","6.27","-28.24","--","--","--"
"CMTL","Comtech Telecommunications Corp","0.71","7.21","28.67","-37.93","-54.28","-52.95","-64.1"
"CNDT","Conduent Inc","2.43","8","18.41","--","--","--","--"
"CNIT","China Information Technology Inc","-1.11","-1.39","-19.32","-52.67","-83.53","-39.32","-92.53"
"CNTF","China Techfaith Wireless Communication Technology Ltd","-0.1","22.34","27.51","-37.08","-71.65","-65.07","-93.78"
"COOL","Polarityte Inc","-1.56","-23.37","161.61","137.08","-32.26","-88.01","-83.97"
"COUP","Coupa Software Inc","1.88","15.25","10.11","--","--","--","--"
"COVS","Covisint Corp","0","-2.56","-5","7.34","-72.9","--","--"
"CPAH","CounterPath Corp","-2.27","-8.51","-14","-5.29","-83.33","-92.53","-88.38"
"CRAY","Cray Inc","3.18","-2.35","9.68","-39.01","-32.9","70.78","101.51"
"CRCM","Care.com","-0.29","17.05","63.31","88.52","25.68","--","--"
"CRDS","Crossroads Systems Inc","0","14.49","-12.63","-32.24","-92.02","-97.28","-97.16"
"CREE","CREE","0.55","-10.41","-21.53","-3.87","-51.49","-30.51","11.72"
"CRTN","Cartesian Inc","-1.32","-19.49","-44.98","-60.94","-83.58","-73.59","-92.9"
"CSIQ","Canadian Solar Inc","4.72","4.97","9.46","-17.43","-50.48","272.83","31.26"
"CSOD","Cornerstone OnDemand, Inc.","3.38","4.51","-7.66","15.06","1.06","98.53","--"
"CSUNY","China Sunergy Co Ltd","-17.89","-15.96","26.72","-75.15","-98.14","-96.41","--"
"CTG","Computer Task Group Inc","-1.55","6.11","22.96","14.6","-63.06","-57.43","25.93"
"CUI","CUI Global Inc","-0.96","-9.65","-31.45","-48.31","-51.13","0.49","-40.29"
"CVV","CVD Equipment Corp","-2.16","1.66","-0.29","43.65","-18.84","-20.56","42.26"
"CY","Cypress Semiconductor","0.98","-1.03","4.18","43.85","42.03","-5.75","-38.5"
"CYOU","Changyou.com Limited","0.47","18.01","33.5","69.88","15.75","45.31","--"
"DATA","Tableau Software, Inc.","4.12","19.31","9.33","18.56","4.22","--","--"
"DBD","Diebold Nixdorf Inc","1.25","-2.08","6.99","16.99","-25.41","-26.49","-41.13"
"DDD","3D Systems Corporation","5.78","19.12","1.49","25.26","-64.63","-10.72","168.44"
"DGLT","Digiliti Money Group Inc","-5.27","-27.27","-17.95","-35.94","--","--","--"
"DGLY","Digital Ally Inc","1.24","2.53","-20.59","-4.71","-14.74","-25.55","-78.91"
"DHX","DHI Group Inc","-1.43","-23.33","-38.94","-50.92","-50.71","-65.67","--"
"DMRC","Digimarc Corp","1.72","6.31","13.46","5.47","-15.74","18.95","--"
"DQ","Daqo New Energy Corp","2.05","-2.83","-22.89","-26.72","-54.61","108.84","--"
"DRAM","Dataram Corp","7.02","2.52","-17.01","-27.38","-84.65","-92.87","-98.47"
"DST","DST Systems","0.65","1.76","5.74","2.59","33.13","128.16","55.95"
"DTRM","Determine Inc","-3.13","6.9","47.62","143.05","-43.54","-17.63","-91.43"
"DWCH","Datawatch Corp","2.41","18.06","13.33","65.37","-34.77","-30.33","68.65"
"DYSL","Dynasil Corporation of America","0","5.34","-0.72","-13.75","-7.44","-26.6","-21.14"
"ECOM","ChannelAdvisor Corp","-2.54","3.6","-19.01","-8.66","-59.66","--","--"
"EDGW","Edgewater Technology Inc","-1.93","0.56","6.58","-15.22","-1.79","83.29","-15.42"
"EGAN","eGain Corp","0","6.06","-16.67","-52.45","-73.68","-69.83","47.06"
"EGHT","EGHT","-0.19","-13.16","-16.72","17.33","32.13","221.95","791.89"
"EIGI","Endurance International Group Holdings Inc","2.55","15","2.55","-16.75","-37.01","--","--"
"ELON","Echelon Corp","-2.42","-3.9","23.08","13.44","-77.09","-86.09","-95.77"
"ENOC","EnerNOC Inc","-0.92","-12.2","-9.24","-24.05","-77.58","-11.76","--"
"ENV","Envestnet Inc","0.57","5.5","-7.31","18.81","-7.17","186.06","--"
"EPAY","Bottomline Technologies (DE) Inc","1.9","12.51","-6.71","2.27","-17.42","11.91","101.44"
"ESIO","Electro Scientific Industries Inc","1.28","12.5","3.19","0.85","-16.06","-48.85","-66.09"
"EVRI","Everi Holdings Inc","5.05","38.75","127.3","344","1.99","-15.8","-58.45"
"EXA","Exa Corp","0","-0.76","-20.89","0.69","29.06","--","--"
"EXAR","Exar Corp","0","-0.08","18.32","112.79","19.85","60.84","-6.15"
"EXTR","Extreme Networks Inc","4.45","27.65","60.54","159.01","60.25","128.46","117.85"
