"ACFN","Acorn Energy Inc","7929.09","Information Technology","NASDAQ","2.6942"
"ACIA","Acacia Communications","1831658.4","Information Technology","NASDAQ","14.233"
"ACTA","Actua Corp","467725.2","Information Technology","NASDAQ","7.3255"
"AEHR","AEHR Test Systems","66976.14","Information Technology","NASDAQ","-8.3557"
"AGYS","Agilysys Inc","232986.87","Information Technology","NASDAQ","-28.0453"
"AIXNY","Aixtron SE","636444.9","Information Technology","NASDAQ","-26.7617"
"AMBR","Amber Road Inc","227085.6","Information Technology","NYSE","-11.6853"
"AMRH","Ameri Holdings Inc","96075.61","Information Technology","NASDAQ","-30.595"
"ANGI","Angie's List","639451.26","Information Technology","NASDAQ","-234.1696"
"APPF","AppFolio Inc","878488","Information Technology","NASDAQ","-107.6031"
"APTI","Apptio","535259.34","Information Technology","NASDAQ","-8.1043"
"ASTI","Ascent Solar Technologies Inc","2022.7398","Information Technology","NASDAQ","-0.0017"
"ASUR","Asure Software Inc","95793","Information Technology","NASDAQ","-69.4314"
"ASYS","Amtech Systems Inc","95291.4","Information Technology","NASDAQ","-30.434"
"ATEN","A10 Networks, Inc.","557028.05","Information Technology","NYSE","-25.4142"
"ATOM","Atomera Inc","73658.925","Information Technology","NASDAQ","-2.8523"
"AVID","Avid Technology Inc","214132.6","Information Technology","NASDAQ","4.6521"
"AVNW","Aviat Networks Inc","113017.8","Information Technology","NASDAQ","-3.9862"
"AYX","Alteryx Inc","1064466.9","Information Technology","NYSE","-29.3346"
"BBOX","Black Box Corp","146935.6","Information Technology","NASDAQ","-2.834"
"BCOR","Blucora Inc","868373.1","Information Technology","NASDAQ","-11.7493"
"BCOV","Brightcove Inc","206296","Information Technology","NASDAQ","-28.9152"
"BELFB","Bel Fuse Inc","229059","Information Technology","NASDAQ","-4.4508"
"BITA","Bitauto","1907481.03","Information Technology","NYSE","-24.3307"
"BL","Blackline Inc","1685159.38","Information Technology","NASDAQ","-35.672"
"BLIN","Bridgeline Digital Inc","16564.72","Information Technology","NASDAQ","-1.0579"
"BNFT","Benefitfocus Inc","939050.75","Information Technology","NASDAQ","-27.3723"
"BOX","Box","2401363.14","Information Technology","NYSE","-14.4779"
"BSFT","BroadSoft Inc","1090641.6","Information Technology","NASDAQ","-142.0381"
